n_metrics    min    avg   max
2    0.07088284194469452    0.1454542218744755    0.20565488934516907
3    0.053806204348802567    0.10828053160011768    0.1651388257741928
4    0.044825129210948944    0.09345874710381032    0.13483723998069763
5    0.044484034180641174    0.08476321902871133    0.1336640566587448
6    0.03645651787519455    0.07829650531709194    0.11762487143278122
7    0.03390670195221901    0.07315948678553104    0.11524652689695358
8    0.030355438590049744    0.06978183200955392    0.11117398738861084
9    0.030567608773708344    0.06621990986168384    0.10084833204746246
10    0.026742005720734596    0.06407177318632602    0.11865600198507309
12    0.02197551168501377    0.05979855239391327    0.10335872322320938
15    0.021298721432685852    0.0548412803336978    0.08377973735332489
17    0.02072053588926792    0.0514811669588089    0.0793093889951706
20    0.015310696326196194    0.04800728786364198    0.06681636720895767
22    0.018192656338214874    0.04501023177802563    0.06778047233819962
24    0.018241960555315018    0.04184634268283844    0.06154778227210045
26    0.019761720672249794    0.03870310105383396    0.05557618662714958
28    0.01733582280576229    0.037142560824751855    0.05153239890933037
30    0.014190183021128178    0.03350973480939865    0.047146089375019073
35    0.013647854328155518    0.027481864158064126    0.03822606801986694
40    0.010021872818470001    0.022425565138459204    0.03104405105113983
