n_metrics    max    min   avg
2    0.22989529371261597    0.0008650519303046167    0.16713005154354807
3    0.1903541088104248    0.0008650519303046167    0.14765869256380634
5    0.160997673869133    0.00043252596515230834    0.12557349574577528
10    0.12685012817382812    0.0    0.09242770951862136
15    0.0957498624920845    0.0    0.07305504657949011
20    0.0906122475862503    0.0    0.058041783490528666
30    0.05447544530034065    0.0    0.03609101329619686
