n_metrics    max    min   avg
2    0.20688094198703766    0.08181090652942657    0.14423942406972248
3    0.15991398692131042    0.06435781717300415    0.1074405721326669
5    0.12676046788692474    0.04416615888476372    0.084335812702775
10    0.11387128382921219    0.02424342930316925    0.06414467665056388
15    0.09342477470636368    0.022195130586624146    0.05466717007259528
20    0.0734013095498085    0.019353508949279785    0.048489520077904066
30    0.0529337041079998    0.017484493553638458    0.03400060651202996
