,0,1,2
205,per_file.impl_block_count.avg,rca.halstead.effort,0.547860420920369
206,per_file.impl_block_count.avg,rca.halstead.time,0.5478604209203687
207,per_file.impl_block_count.avg,rca.loc.lloc,0.5273952639356967
208,per_file.impl_block_count.avg,rca.mi.mi_original,-0.6662279253506355
209,per_file.impl_block_count.avg,rca.mi.mi_sei,-0.6152895573300171
210,per_file.impl_block_count.avg,rca.nargs.total,0.7652261154870983
211,per_file.impl_block_count.avg,rca.nargs.total_functions,0.7761535243403794
213,per_file.impl_block_count.avg,rca.nom.functions,0.7882574441910138
214,per_file.impl_block_count.avg,rca.nom.total,0.766673959894098
221,per_file.impl_block_count.mode,per_file.struct_count.mode,0.9477050207955608
232,per_file.pub_fn_count.avg,rca.halstead.bugs,0.5149968394793885
233,per_file.pub_fn_count.avg,rca.halstead.effort,0.6084573039973894
234,per_file.pub_fn_count.avg,rca.halstead.time,0.6084573039973906
235,per_file.pub_fn_count.avg,rca.loc.cloc,0.5585587107250788
236,per_file.pub_fn_count.avg,rca.loc.lloc,0.6547537245484829
237,per_file.pub_fn_count.avg,rca.mi.mi_original,-0.663520225920812
238,per_file.pub_fn_count.avg,rca.mi.mi_sei,-0.6067509370960255
239,per_file.pub_fn_count.avg,rca.nargs.total,0.8996381991161743
240,per_file.pub_fn_count.avg,rca.nargs.total_closures,0.6479655719201373
241,per_file.pub_fn_count.avg,rca.nargs.total_functions,0.8994890984179582
243,per_file.pub_fn_count.avg,rca.nom.closures,0.6640326432642152
244,per_file.pub_fn_count.avg,rca.nom.functions,0.8494036490856308
245,per_file.pub_fn_count.avg,rca.nom.total,0.8574960177322433
256,per_file.struct_count.avg,rca.halstead.bugs,0.6338420261486084
257,per_file.struct_count.avg,rca.halstead.effort,0.6082832561553224
258,per_file.struct_count.avg,rca.halstead.time,0.6082832561553221
259,per_file.struct_count.avg,rca.loc.lloc,0.625235764898783
260,per_file.struct_count.avg,rca.mi.mi_original,-0.5850106777844468
261,per_file.struct_count.avg,rca.mi.mi_sei,-0.5559618666823493
262,per_file.struct_count.avg,rca.nargs.total,0.6598782645334653
263,per_file.struct_count.avg,rca.nargs.total_functions,0.6684191222658441
265,per_file.struct_count.avg,rca.nom.functions,0.7191107136019396
266,per_file.struct_count.avg,rca.nom.total,0.6950631815988804
278,rca.cognitive.average,rca.cognitive.max,0.7754916808897393
279,rca.cognitive.average,rca.cyclomatic.average,0.664421559382606
280,rca.cognitive.average,rca.cyclomatic.max,0.5251619553828014
281,rca.cognitive.average,rca.loc.lloc_average,0.6623565933583277
282,rca.cognitive.average,rca.nexits.average,0.537950497422969
283,rca.cognitive.average,rca.nexits.max,0.5513043118716626
285,rca.cognitive.max,rca.cyclomatic.average,0.6076229964270079
286,rca.cognitive.max,rca.cyclomatic.max,0.7824180288732028
287,rca.cognitive.max,rca.loc.lloc_average,0.547645477708386
288,rca.cognitive.max,rca.loc.lloc_max,0.7310533796525018
289,rca.cognitive.max,rca.nexits.max,0.6403389321808644
290,rca.cognitive.min,rca.nargs.closures_min,0.9999999999999994
291,rca.cognitive.min,rca.nargs.functions_min,1.0000000000000007
292,rca.cognitive.min,rca.nom.closures_min,0.9999999999999994
293,rca.cognitive.min,repo.commit_count,0.9612604767062612
294,rca.cognitive.min,repo.forks,0.8457510915367271
295,rca.cognitive.min,repo.open_issues,0.9147889362851527
296,rca.cognitive.min,repo.size,0.5056921570093988
297,rca.cognitive.min,repo.stars,0.7175096703991278
298,rca.cognitive.min,repo.watchers,0.7175096703991278
317,rca.cyclomatic.average,rca.cyclomatic.max,0.747085638052038
318,rca.cyclomatic.average,rca.nexits.average,0.5476151164761115
319,rca.cyclomatic.average,rca.nexits.max,0.5224887961694877
320,rca.cyclomatic.max,rca.halstead.n1,0.5056702430186997
321,rca.cyclomatic.max,rca.loc.lloc_max,0.7280800480963124
322,rca.cyclomatic.max,rca.nexits.max,0.5549674122737045
323,rca.cyclomatic.min,rca.nom.functions_max,-0.5602664004462788
338,rca.halstead.N1,rca.halstead.N2,0.9919244198333093
339,rca.halstead.N1,rca.halstead.bugs,0.6653345540210719
340,rca.halstead.N1,rca.halstead.effort,0.6386228890122472
341,rca.halstead.N1,rca.halstead.estimated_program_length,0.971184453808593
342,rca.halstead.N1,rca.halstead.length,0.9986264160171674
343,rca.halstead.N1,rca.halstead.n2,0.9736124577476708
344,rca.halstead.N1,rca.halstead.time,0.638622889012248
345,rca.halstead.N1,rca.halstead.vocabulary,0.9735422956992248
346,rca.halstead.N1,rca.halstead.volume,0.9951881207614297
347,rca.halstead.N1,rca.loc.blank,0.8224532327452064
348,rca.halstead.N1,rca.loc.blank_average,0.9278624507752123
349,rca.halstead.N1,rca.loc.blank_max,0.846947370974287
350,rca.halstead.N1,rca.loc.blank_min,0.9100460614856315
351,rca.halstead.N1,rca.loc.ploc,0.9850514013496743
352,rca.halstead.N1,rca.loc.ploc_average,0.9409403089617896
353,rca.halstead.N1,rca.loc.ploc_max,0.946703447804802
354,rca.halstead.N1,rca.loc.ploc_min,0.9408014849706526
355,rca.halstead.N1,rca.loc.sloc,0.9867508978529448
356,rca.halstead.N1,rca.loc.sloc_average,0.9407712108428696
357,rca.halstead.N1,rca.loc.sloc_max,0.9469069692747094
358,rca.halstead.N1,rca.loc.sloc_min,0.9405818969182338
359,rca.halstead.N2,rca.halstead.bugs,0.7055294335615586
