n_metrics    min    avg   max
2    0.08181803673505783    0.14790332853794097    0.21025098860263824
3    0.07352955639362335    0.11629023695985476    0.16989459097385406
5    0.04814622551202774    0.08332948143283526    0.1327209323644638
10    0.026793718338012695    0.060599407975872356    0.09781846404075623
15    0.019129406660795212    0.050897183753550054    0.07064163684844971
20    0.018914267420768738    0.043122923821210864    0.06304118037223816
30    0.013405823148787022    0.029871856253594162    0.044862911105155945
