n_metrics    min    avg   max
2    0.33028167486190796    0.5425465506315231    0.6266384720802307
3    0.24442119896411896    0.4586165514588356    0.546097993850708
4    0.21852217614650726    0.4048906996846199    0.4857499599456787
5    0.21679988503456116    0.36474096059799194    0.4318538308143616
6    0.17922917008399963    0.3303259164094925    0.38165730237960815
7    0.1358087956905365    0.31047570288181303    0.3661207854747772
8    0.14499635994434357    0.280342997610569    0.33067724108695984
9    0.112871915102005    0.2596798884868622    0.31672367453575134
10    0.11546304821968079    0.23869295090436934    0.29729223251342773
11    0.11818213760852814    0.23215980798006058    0.2781795859336853
12    0.11406590789556503    0.21109065398573876    0.26296767592430115
13    0.07637406140565872    0.19582694932818412    0.2367747724056244
14    0.07238573580980301    0.1794929552078247    0.2268870770931244
15    0.07136227190494537    0.17762538999319077    0.22092056274414062
17    0.07215450704097748    0.1529731810092926    0.19551566243171692
19    0.043723080307245255    0.1362385030835867    0.16435857117176056
21    0.05875121057033539    0.11473597913980484    0.14377763867378235
23    0.04651864990592003    0.10799163602292537    0.13123369216918945
25    0.050883036106824875    0.08929677344858647    0.11487295478582382
30    0.026744863018393517    0.07236098144203425    0.09451595693826675
40    0.010944725014269352    0.04399963876232505    0.05994130298495293
