rca.function.loc.cloc,0,1,1,1,1,1,3,2,5,4,8,4,4,8,5,11,12,24,23,30,40
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,5,6,14
rca.function.loc.ploc_average,0,1,1,2,3,2,3,2,5,5,5,5,3,5,7,12,9,7,12,24,45
rca.function.loc.ploc_min,0,0,1,2,4,4,2,5,12,9,7,9,11,14,11,18,15,26,31,33,41
rca.function.loc.sloc,1,1,1,1,3,1,3,2,4,3,5,6,5,8,7,11,11,16,21,42,27
rca.function.nargs.total,0,0,0,0,0,0,0,1,1,1,8,12,13,19,12,16,16,19,20,32,45
rca.function.nargs.total_functions,0,0,0,0,0,1,0,0,1,3,4,4,5,3,8,9,9,9,17,23,37
rca.function.nexits.sum,0,0,0,0,1,2,2,4,4,4,5,5,4,6,4,4,8,9,12,18,50
rca.function.nom.closures,0,0,0,0,1,2,2,3,2,6,8,11,7,6,14,15,24,20,27,24,45
rca.function.nom.functions,0,0,0,0,0,0,0,2,2,2,4,4,7,7,6,9,10,17,17,14,39
rca.function.nom.total,0,0,1,0,1,0,1,2,4,3,6,3,5,7,7,12,11,18,27,23,52
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,2,6,2,1,1,4,6,8,11,11,19,31
rca.function.halstead.N2,0,0,0,0,0,1,0,1,0,1,2,4,11,8,16,11,14,15,12,22,21
rca.function.halstead.bugs,0,0,0,0,0,0,0,0,0,1,2,1,5,1,1,2,2,8,15,9,14
rca.function.halstead.difficulty,0,0,1,0,1,2,5,5,9,7,6,11,14,19,18,19,32,34,39,38,45
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,4,8,9,15
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,0,1,1,2,2,3,2,6,9,11,9,10,25,35
rca.function.halstead.length,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,4,7,11,43
rca.function.halstead.n2,0,0,0,0,0,0,1,1,4,7,6,11,12,17,9,11,12,15,22,22,49
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2,3,7,5,8,19
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,9
