rca.impl.nargs.total_functions,0,0,2,3,3,5,5,9,10,8,12,16,13,19,14,28,26,34,35,36,46,49,58
rca.impl.nom.closures,3,4,3,5,6,7,8,9,8,14,14,15,15,18,22,28,31,32,39,40,42,51,57
rca.impl.nom.total,0,0,1,2,2,2,5,6,8,9,12,12,14,14,23,25,27,34,38,37,41,50,62
rca.impl.cyclomatic.average,0,0,1,1,2,4,4,5,4,7,9,10,9,10,14,20,22,30,34,33,40,45,54
rca.impl.halstead.N2,0,0,0,0,0,1,1,3,5,3,8,8,8,11,14,18,20,21,28,34,34,42,54
rca.impl.halstead.effort,0,0,0,0,0,1,1,1,2,5,5,6,7,8,10,15,21,19,17,22,29,47,47
rca.impl.halstead.length,0,0,0,0,0,1,4,3,4,6,6,10,6,18,12,16,28,28,31,30,36,43,50
rca.impl.halstead.level,0,0,0,0,1,1,0,2,5,6,7,8,10,12,13,17,21,22,28,32,37,41,51
rca.impl.halstead.time,0,0,1,1,0,1,2,2,3,4,6,4,8,7,9,15,16,16,20,26,28,38,50
rca.impl.halstead.volume,0,0,0,0,0,1,2,0,2,4,5,6,10,7,9,15,19,20,28,28,38,38,52
rca.impl.loc.ploc,0,0,0,1,2,2,2,4,4,6,8,11,13,15,17,18,31,24,30,32,37,44,55
rca.impl.nargs.closures_min,0,0,0,0,0,0,1,1,1,1,2,6,4,4,7,8,15,15,17,19,22,31,40
rca.impl.nargs.functions_min,0,0,0,0,1,0,0,1,0,1,2,4,3,5,6,12,10,17,13,22,24,33,44
rca.impl.nargs.total_closures,1,1,2,2,4,4,6,6,8,10,7,12,14,19,21,23,20,27,32,39,41,50,56
rca.impl.nom.closures_min,0,0,0,0,0,0,1,1,3,4,4,4,4,2,7,11,15,15,19,18,24,30,37
rca.impl.nom.functions,0,0,0,2,2,2,4,5,7,10,8,14,16,16,16,27,21,32,28,43,44,50,59
rca.impl.nom.functions_max,0,0,0,1,1,2,3,5,4,6,8,9,10,10,16,19,19,25,27,30,32,38,54
rca.impl.nom.functions_min,0,0,0,0,0,0,0,1,0,0,3,4,3,5,8,10,11,12,21,26,25,32,36
