rca.function.cyclomatic.average,0,0,0,0,1,1,2,0,2,2,4,5,7,8,11,11,17,15,18,26,22,42,41
rca.function.cyclomatic.max,0,0,0,0,0,2,1,3,4,4,4,5,6,7,12,14,18,26,20,26,27,37,35
rca.function.cyclomatic.min,0,0,0,0,0,0,1,1,1,3,5,6,7,8,10,9,14,16,24,27,28,39,42
rca.function.cyclomatic.sum,0,0,0,0,0,0,0,3,4,5,3,5,7,7,9,16,13,20,22,28,31,35,47
rca.function.loc.blank,0,0,0,0,0,0,2,0,1,1,2,2,1,5,6,8,10,12,11,14,18,32,34
rca.function.loc.blank_average,0,0,0,1,0,1,2,2,2,2,4,4,3,8,8,11,12,17,20,26,24,27,42
rca.function.loc.blank_max,0,0,0,1,0,1,0,2,2,1,2,3,4,5,6,14,12,15,24,22,28,31,48
rca.function.loc.blank_min,0,0,1,0,1,1,2,2,3,2,3,3,5,6,6,11,11,16,21,19,22,33,37
rca.function.loc.cloc,0,0,0,0,1,2,2,6,5,6,8,13,14,11,20,20,22,28,36,30,37,41,46
rca.function.loc.lloc,0,0,0,0,0,1,2,4,4,5,7,11,8,13,9,15,23,19,24,28,34,43,46
rca.function.loc.ploc,0,0,0,0,0,0,0,0,2,4,2,1,3,4,8,11,10,16,22,18,20,26,36
rca.function.loc.ploc_average,0,0,0,1,2,2,2,4,4,7,8,7,11,13,13,20,22,21,28,27,31,34,50
rca.function.nargs.total,0,0,0,0,0,0,0,2,2,3,4,4,6,10,12,13,20,16,24,23,31,40,45
rca.function.nargs.total_functions,0,0,0,0,0,0,0,1,1,2,3,4,8,6,8,13,10,22,20,26,28,37,42
rca.function.nom.functions,0,0,0,0,0,1,2,2,3,3,6,10,6,10,7,14,16,23,16,27,36,32,41
rca.function.nom.total,0,0,0,1,1,1,1,5,4,4,6,6,9,9,13,22,17,22,27,23,32,39,49
rca.function.halstead.N1,0,0,0,0,0,0,0,1,2,0,3,3,4,5,8,10,11,16,14,22,21,33,38
rca.function.halstead.N2,0,0,0,0,0,1,1,0,4,2,2,4,4,6,6,12,14,12,17,21,27,34,40
rca.function.halstead.bugs,0,0,0,0,0,1,0,1,1,2,3,3,4,4,8,11,14,17,18,22,22,30,41
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,2,3,4,3,4,7,8,12,9,16,19,26,28,35
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,1,2,4,3,5,5,6,10,12,18,23,24,25,31,38,44
rca.function.halstead.length,0,0,0,0,0,0,1,0,3,1,3,5,4,5,7,11,12,10,17,25,21,33,42
rca.function.halstead.n2,0,0,0,0,1,2,4,6,3,9,9,11,14,12,19,19,24,28,30,35,39,40,51
rca.function.halstead.time,0,0,0,0,0,0,0,0,1,0,2,2,1,3,7,7,13,9,13,16,22,28,33
rca.function.halstead.volume,0,0,0,0,0,0,0,1,0,1,2,2,2,3,7,9,13,14,18,17,23,29,38
