rca.function.loc.blank_min,0,0,0,0,0,0,2,2,2,6,6,8,8,8,4,6,6,2,8,20,22
rca.function.loc.cloc,0,2,0,2,2,2,4,4,12,4,6,8,4,8,6,6,8,20,14,32,32
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,2,8
rca.function.loc.ploc_average,0,0,0,0,0,2,2,0,0,0,4,0,0,0,6,10,8,4,12,20,48
rca.function.loc.ploc_min,0,0,0,0,0,2,0,2,10,8,4,4,10,10,10,18,8,18,34,24,40
rca.function.loc.sloc,0,4,2,2,2,0,2,2,4,2,4,2,4,4,4,6,8,12,22,40,22
rca.function.loc.sloc_max,0,0,0,0,0,0,0,2,2,4,10,14,4,10,6,10,6,14,24,34,50
rca.function.nargs.total,0,0,0,0,0,0,0,4,2,0,10,6,22,16,10,20,18,18,20,34,40
rca.function.nargs.total_functions,0,0,0,0,0,0,0,0,0,0,6,6,12,2,8,8,8,8,22,14,38
rca.function.nom.closures,0,0,0,0,0,2,2,0,2,8,10,10,8,6,20,10,22,22,28,28,48
rca.function.nom.functions,0,0,2,0,0,0,2,2,4,6,6,6,6,10,6,8,8,26,14,24,40
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,4,8,4,0,0,4,8,8,8,12,20,22
rca.function.halstead.N2,0,0,0,0,0,2,0,0,0,2,6,2,16,12,20,16,12,16,14,26,24
rca.function.halstead.bugs,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,4,6,22,14,16
rca.function.halstead.difficulty,0,0,2,2,2,6,6,4,4,4,8,12,12,26,18,20,44,36,42,34,46
rca.function.halstead.effort,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,4,8,10,14,16
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,0,4,2,0,2,0,4,4,12,22,14,4,18,36
rca.function.halstead.length,0,0,0,0,0,0,2,0,2,0,2,2,2,2,4,2,6,2,12,12,42
rca.function.halstead.n2,0,0,0,0,0,0,2,0,6,12,2,4,16,10,12,16,14,14,22,22,48
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,6,4,8,4,8,20
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,6,10
